cityID,cityName,totalIncidents,incidentDates
SY040111,Shin,8,2014-05-11T21:12:25+00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-04-19T17:54:13+00:00
SY030702,Ein Elfijeh,0,
SY050103,Hamra,47,2014-05-11T23:09:42+00:00||2014-05-11T19:44:29+00:00||2014-05-11T19:37:57+00:00||2014-05-11T19:20:35+00:00||2014-05-11T19:13:47+00:00||2014-05-11T19:10:02+00:00||2014-05-11T16:47:21+00:00||2014-05-11T15:48:07+00:00||2014-05-11T15:44:59+00:00||2014-05-11T15:26:27+00:00||2014-05-11T15:11:36+00:00||2014-05-11T13:50:47+00:00||2014-05-11T12:36:51+00:00||2014-05-10T22:46:45+00:00||2014-05-10T20:27:27+00:00||2014-05-10T18:37:36+00:00||2014-05-10T17:48:45+00:00||2014-05-10T16:47:20+00:00||2014-05-10T15:19:55+00:00||2014-05-10T15:13:39+00:00||2014-05-10T14:31:58+00:00||2014-05-10T14:22:04+00:00||2014-05-10T13:46:23+00:00||2014-05-10T12:50:06+00:00||2014-05-10T11:32:49+00:00||2014-05-10T10:35:48+00:00||2014-05-10T10:27:32+00:00||2014-05-10T10:13:04+00:00||2014-05-10T00:59:29+00:00||2014-05-09T22:04:18+00:00||2014-05-09T21:25:47+00:00||2014-05-09T20:23:38+00:00||2014-05-09T13:57:02+00:00||2014-05-09T12:52:55+00:00||2014-05-09T10:25:20+00:00||2014-05-08T23:19:33+00:00||2014-05-06T20:59:04+00:00||2014-05-06T16:50:11+00:00||2014-05-06T13:16:56+00:00||2014-05-06T13:05:56+00:00||2014-05-06T12:24:56+00:00||2014-05-06T11:41:12+00:00||2014-05-01T08:44:00||2014-04-27T01:09:30+00:00||2014-04-24T19:58:23+00:00||2014-04-21T16:59:00||2014-04-18T08:46:00
SY030704,Sarghaya,0,
SY030300,Al Qutayfah,0,
SY030301,Jirud,0,
SY030302,Ma'loula,0,
SY030701,Dimas,3,2014-05-11T19:30:43+00:00||2014-05-09T00:00:00||2014-05-09T00:00:00
SY030303,Raheiba,0,
SY030600,An Nabk,0,
SY030601,Deir Attiyeh,0,
SY030900,Markaz Darayya,0,
SY030901,Sahnaya,0,
SY030902,Hajar Aswad,0,
SY030703,Madaya,4,2014-05-10T20:06:52+00:00||2014-05-10T09:48:56+00:00||2014-05-09T20:38:10+00:00||2014-05-09T12:20:06+00:00
SY030206,Haran Al'awameed,0,
SY030204,Nashabiyeh,0,
SY030202,Sabe Byar,0,
SY030205,Ghizlaniyyeh,0,
SY030802,Sa'sa',0,
SY030801,Bait Jan,0,
SY030203,Dhameer,0,
SY030101,Kisweh,1,2014-05-12T01:40:36+00:00
SY030102,Babella,0,
SY030105,Kafr Batna,0,
SY030800,Qatana,4,2014-05-10T04:00:00+00:00||2014-05-09T16:39:40+00:00||2014-05-07T19:47:19+00:00||2014-05-07T10:00:00+00:00
SY030107,Qudsiya,0,
SY030501,Esal El-Ward,0,
SY100500,Sheikh Badr,0,
SY100502,Qumseyyeh,0,
